,Isolate,AMIKACIN,CAPREOMYCIN,CIPROFLOXACIN,ETHAMBUTOL,ETHIONAMIDE,ISONIAZID,KANAMYCIN,LEVOFLOXACIN,OFLOXACIN,PARA-AMINOSALICYLIC_ACID,PYRAZINAMIDE,RIFAMPICIN,STREPTOMYCIN
11613,SAMEA1119273,,,,S,,S,,,,,,S,
11614,SAMEA1101435,,,,,,R,,,,,,S,
11615,SAMN08214913,,,,S,,S,,,,,,S,S
11616,SAMEA1117879,,,,S,,S,,,,,S,S,
11617,SAMEA1119402,,,,S,,S,,,,,S,S,
11618,SAMN08214916,,,,S,,S,,,,,,S,S
11619,SAMEA1119704,,,,S,,S,,,,,S,S,
11620,SAMEA3432785,,,,S,,S,,,,,S,S,
11621,SAMEA3401925,,,,S,,R,,,,,R,R,
11622,SAMEA3178966,,,,R,,,,,,,,R,
11623,SAMEA3403851,,,,S,,S,,,,,,S,
11624,SAMN07765949,,,,S,,S,,,,,,S,S
11625,SAMEA3445355,,,,S,,R,,,,,S,S,
11626,SAMEA1119671,,,,S,,S,,,,,S,S,
11627,SAMEA3357591,,,,S,,S,,,,,S,S,
11628,SAMN07236484,,,,S,,S,,,,,,S,
11629,SAMN08215398,,,,S,,S,,,,,,S,S
11630,SAMEA2535054,,,,R,,R,,,,,R,R,
11631,SAMEA1118442,,,,S,,S,,,,,S,S,
11632,SAMEA3377912,,,,R,,R,,,,,S,R,
11633,SAMN07766242,,,,S,,S,,,,,,S,S
11634,SAMEA2781615,,,,S,,R,,,,,R,R,
11635,SAMEA3432794,,,,,,R,,,,,R,R,
11636,SAMEA1119895,,,,S,,S,,,,,S,S,
11637,SAMEA1118292,,,,S,,S,,,,,S,S,
11638,SAMEA1100874,,,,S,,S,,,,,S,S,
11639,SAMEA3402870,,,,R,,R,,,,,S,S,
11640,SAMEA1118211,,,,S,,S,,,,,S,S,
11641,SAMEA1102792,,,,S,,S,,,,,S,S,
11642,SAMEA1118787,,,,S,,S,,,,,S,S,
11643,SAMEA104394589,,,,S,,S,,,,,,S,
11644,SAMEA3404173,,,,R,,R,,,,,R,R,
11645,SAMEA1118658,,,,S,,S,,,,,S,S,
11646,SAMN07236339,,,,S,,R,,,,,,R,
11647,SAMN08214958,,,,S,,S,,,,,,S,S
11648,SAMN07766470,,,,S,,R,,,,,S,S,R
11649,SAMEA1119805,,,,S,,S,,,,,S,S,
11650,SAMN08215045,,,,S,,S,,,,,,S,S
11651,SAMEA2709715,,,,S,,S,,,,,S,S,
11652,SAMN07766084,,,,S,,S,,,,,,S,S
11653,SAMEA1118855,,,,S,,S,,,,,S,S,
11654,SAMEA2709841,,,,S,,S,,,,,S,S,
11655,SAMEA1118918,,,,S,,S,,,,,S,S,
11656,SAMEA1118385,,,,S,,S,,,,,S,S,
11657,SAMN09090615,,,,,,,,,,,,S,
11658,SAMEA1119475,,,,S,,S,,,,,S,S,
11659,SAMEA2399487,,,,S,,S,,,,,S,S,
11660,SAMEA1101379,,,,,,R,,,,,,R,
11661,SAMEA3404162,,,,R,,R,,,,,S,R,
11662,SAMEA1101287,,,,,,R,,,,,,S,
11663,SAMEA1118103,,,,S,,S,,,,,S,S,
11664,SAMEA2709780,,,,S,,S,,,,,S,S,
11665,SAMN07236265,,,,R,,R,,,,,,R,
11666,SAMN08214753,,,,S,,R,,,,,,R,R
11667,SAMN08215138,,,,S,,S,,,,,,S,S
11668,SAMEA1119235,,,,S,,S,,,,,S,S,
11669,SAMEA2709860,,,,S,,S,,,,,S,S,
11670,SAMEA2534588,,,,S,,R,,,,,R,S,
11671,SAMEA3445015,,,,S,,S,,,,,S,S,
11672,SAMEA1119910,,,,S,,R,,,,,S,S,
11673,SAMEA1118721,,,,S,,S,,,,,S,S,
11674,SAMEA1101303,,,,,,R,,,,,,R,
11675,SAMEA1118163,,,,S,,S,,,,,S,S,
11676,SAMEA104394576,,,,S,,S,,,,,,S,
11677,SAMEA1118446,,,,S,,S,,,,,S,S,
11678,SAMEA1397422,,,,S,,S,,,,,S,S,
11679,SAMN08215463,,,,S,,R,,,,,S,R,S
11680,SAMEA1117738,,,,S,,S,,,,,S,S,
11681,SAMN07766275,,,,S,,S,,,,,,S,S
11682,SAMEA3270344,,,,S,,R,,,,,S,R,
11683,SAMEA3443162,,,,S,,R,,,,,S,R,
11684,SAMEA3444032,,,,S,,R,,,,,S,R,
11685,SAMN07766347,,,,S,,S,,,,,,S,S
11686,SAMN07765887,,,,S,,S,,,,,,S,S
11687,SAMEA1119276,,,,S,,S,,,,,S,S,
11688,SAMN08215183,,,,S,,S,,,,,,S,S
11689,SAMN08215342,,,,S,,S,,,,,,S,S
11690,SAMEA3443166,,,,S,,R,,,,,S,R,
11691,SAMN08215010,,,,R,,,,,,,R,R,S
11692,SAMEA1102655,,,,R,,R,,,,,R,R,
11693,SAMEA1118481,,,,S,,S,,,,,S,S,
11694,SAMEA3233424,,,,S,,S,,,,,S,S,
11695,SAMEA1118335,,,,S,,S,,,,,S,S,
11696,SAMEA1119569,,,,,,,,,,,S,,
11697,SAMEA1118947,,,,S,,S,,,,,S,S,
11698,SAMN08214911,,,,S,,S,,,,,,S,S
11699,SAMEA1117890,,,,S,,S,,,,,S,S,
11700,SAMEA3367548,,,,S,,S,,,,,S,S,
11701,SAMEA1117836,,,,S,,S,,,,,S,S,
11702,SAMEA1119450,,,,S,,S,,,,,S,S,
11703,SAMEA3242454,,,,S,,S,,,,,S,S,
11704,SAMN07659770,,,,S,,S,,,,,S,S,
11705,SAMN08215048,,,,S,,S,,,,,,S,S
11706,SAMN07236377,,,,,,R,,,,,,R,
11707,SAMN07765869,,,,S,,S,,,,,,S,S
11708,SAMN07766446,,,,S,,S,,,,,,S,S
11709,SAMN07236532,,,,,,R,,,,,,R,
11710,SAMEA1397518,,,,S,,S,,,,,S,S,
11711,SAMEA3368587,,,,S,,S,,,,,S,S,
11712,SAMEA3403345,,,,S,,R,,,,,S,S,
11713,SAMN08215448,,,,S,,S,,,,,,S,
11714,SAMEA1118528,,,,S,,S,,,,,S,S,
11715,SAMEA1118181,,,,R,,R,,,,,S,S,
11716,SAMEA1117978,,,,S,,,,,,,S,S,
11717,SAMN08214884,,,,S,,S,,,,,,S,
11718,SAMEA2591388,,,,S,,R,,,,,S,S,
11719,SAMEA1397254,,,,S,,S,,,,,S,S,
11720,SAMEA1397458,,,,S,,S,,,,,S,S,
11721,SAMEA3443793,,,,S,,R,,,,,S,R,
11722,SAMEA1119566,,,,S,,S,,,,,S,S,
11723,SAMN07765888,,,,S,,R,,,,,S,S,S
11724,SAMN07766243,,,,S,,R,,,,,S,S,R
11725,SAMN07236442,,,,S,,S,,,,,,S,
11726,SAMN07659824,,,,S,,S,,,,,S,S,
11727,SAMN08215119,,,,S,,S,,,,,,S,S
11728,SAMN07766302,,,,S,,S,,,,,,S,S
11729,SAMN08215297,,,,,,,,,,,R,,S
11730,SAMN07766214,,,,S,,R,,,,,R,S,R
11731,SAMEA1119301,,,,S,,R,,,,,S,S,
11732,SAMN09492289,,,,S,,S,,,,,,S,S
11733,SAMEA104172466,,,,S,,R,,,,,S,R,
11734,SAMN08215272,,,,S,,S,,,,,,S,S
11735,SAMN08215096,,,,S,,S,,,,,,S,S
11736,SAMN07765961,,,,S,,S,,,,,,S,S
11737,SAMEA1101625,,,,R,,R,,,,,S,R,
11738,SAMEA1101754,,,,,,R,,,,,R,R,
11739,SAMEA104394522,,,,S,,S,,,,,,S,
11740,SAMEA1118585,,,,S,,S,,,,,S,S,
11741,SAMEA3449442,,,,S,,S,,,,,,S,
11742,SAMEA104394602,,,,S,,S,,,,,,S,
11743,SAMEA1016038,,,,S,,R,,,,,R,S,
11744,SAMEA3375494,,,,S,,S,,,,,S,S,
11745,SAMEA3420953,,,,S,,R,,,,,S,R,
11746,SAMN07765936,,,,S,,S,,,,,,S,S
11747,SAMN07765902,,,,S,,S,,,,,,S,S
11748,SAMEA3230405,,,,S,,S,,,,,S,S,
11749,SAMN08215085,,,,S,,S,,,,,,S,S
11750,SAMN08215274,,,,S,,S,,,,,,S,
11751,SAMEA3448730,,,,S,,S,,,,,S,S,
11752,SAMEA1117875,,,,S,,S,,,,,S,S,
11753,SAMEA1119681,,,,S,,S,,,,,S,S,
11754,SAMEA1117566,,,,S,,S,,,,,S,S,
11755,SAMEA2709895,,,,S,,S,,,,,S,S,
11756,SAMN08214861,,,,S,,S,,,,,S,R,S
11757,SAMEA1118769,,,,S,,S,,,,,S,S,
11758,SAMEA3360014,,,,R,,R,,,,,,R,
11759,SAMN09090388,,,,,,,,,,,,S,
11760,SAMEA3404172,,,,S,,R,,,,,R,R,
11761,SAMEA104172435,,,,R,,R,,,,,R,R,
11762,SAMEA1119053,,,,S,,R,,,,,S,R,
11763,SAMEA104394395,,,,S,,S,,,,,S,S,
11764,SAMN07659443,,,,S,,S,,,,,S,S,
11765,SAMEA104172428,,,,R,,R,,,,,S,R,
11766,SAMN07766059,,,,S,,S,,,,,,S,S
11767,SAMEA1118659,,,,S,,S,,,,,S,S,
11768,SAMN07766382,,,,S,,,,,,,S,S,S
11769,SAMEA3443175,,,,S,,R,,,,,S,R,
11770,SAMN07236458,,,,S,,S,,,,,,S,
11771,SAMEA3447607,,,,S,,S,,,,,S,S,
11772,SAMEA1397315,,,,S,,S,,,,,S,S,
11773,SAMN07660137,,,,S,,S,,,,,S,S,
11774,SAMEA3174684,,,,S,,S,,,,,S,S,
11775,SAMN07766292,,,,S,,S,,,,,,S,S
11776,SAMN07765986,,,,S,,S,,,,,,S,S
11777,SAMEA1119157,,,,S,,S,,,,,S,S,
11778,SAMEA1102260,,,,S,,R,,,,,S,R,
11779,SAMEA3436987,,,,R,,R,,,,,R,R,
11780,SAMN07660450,,,,S,,S,,,,,S,S,
11781,SAMEA3449651,,,,S,,S,,,,,S,S,
11782,SAMEA1118529,,,,S,,S,,,,,S,S,
11783,SAMN07766391,,,,S,,R,,,,,S,S,R
11784,SAMEA1118386,,,,S,,S,,,,,S,S,
11785,SAMN07766192,,,,S,,S,,,,,,S,S
11786,SAMEA1119008,,,,S,,S,,,,,S,S,
11787,SAMEA104394423,,,,S,,S,,,,,S,S,
11788,SAMEA3174289,,,,S,,S,,,,,S,S,
11789,SAMEA1101501,,,,S,,S,,,,,S,S,
11790,SAMEA3402855,,,,R,,R,,,,,R,R,
11791,SAMEA3448734,,,,S,,R,,,,,S,S,
11792,SAMN07766117,,,,S,,S,,,,,,S,S
11793,SAMEA1118133,,,,S,,S,,,,,S,S,
11794,SAMEA1117625,,,,S,,S,,,,,S,S,
11795,SAMN08215454,,,,S,,R,,,,,S,S,
11796,SAMN07659329,,,,S,,S,,,,,S,S,
11797,SAMEA1119382,,,,S,,S,,,,,S,S,
11798,SAMN07766408,,,,S,,S,,,,,,S,S
11799,SAMEA1119103,,,,S,,S,,,,,S,S,
11800,SAMEA1397456,,,,S,,S,,,,,S,S,
11801,SAMEA3432815,,,,,,R,,,,,S,R,
11802,SAMEA3447623,,,,S,,S,,,,,S,S,
11803,SAMEA3178655,,,,S,,S,,,,,S,S,
11804,SAMEA1102563,,,,S,,R,,,,,S,R,
11805,SAMEA1117888,,,,S,,S,,,,,S,S,
11806,SAMEA3402906,,,,S,,R,,,,,R,S,
11807,SAMEA1101789,,,,R,,R,,,,,R,R,
11808,SAMEA1119111,,,,S,,S,,,,,S,S,
11809,SAMN07766088,,,,S,,S,,,,,,S,S
11810,SAMEA1118797,,,,S,,S,,,,,S,S,
11811,SAMEA3420870,,,,S,,R,,,,,S,R,
11812,SAMEA1101738,,,,R,,R,,,,,R,R,
11813,SAMEA1119697,,,,S,,S,,,,,S,S,
11814,SAMEA104394486,,,,S,,S,,,,,S,S,
11815,SAMEA1118640,,,,S,,S,,,,,S,S,
11816,SAMEA104394484,,,,S,,S,,,,,S,S,
11817,SAMEA2534422,,,,R,,R,,,,,R,R,
11818,SAMEA1117853,,,,S,,S,,,,,S,S,
11819,SAMN07978256,,,,R,,R,,,,,R,R,
11820,SAMEA104394583,,,,S,,S,,,,,S,S,
11821,SAMN07659930,,,,S,,S,,,,,S,S,
11822,SAMEA3445345,,,,S,,S,,,,,S,S,
11823,SAMEA1101698,,,,R,,R,,,,,R,R,
11824,SAMEA3369661,,,,S,,S,,,,,R,S,
11825,SAMEA3451221,,,,S,,S,,,,,S,S,
11826,SAMEA1117759,,,,S,,S,,,,,S,S,
11827,SAMEA1119443,,,,S,,S,,,,,S,S,
11828,SAMEA3414412,,,,S,,R,,,,,R,R,
11829,SAMEA3359393,,,,R,,R,,,,,R,R,
11830,SAMN08215259,,,,S,,S,,,,,,S,S
11831,SAMEA3230403,,,,R,,R,,,,,R,R,
11832,SAMEA3258489,,,,R,,,,,,,,R,
11833,SAMEA1117861,,,,S,,S,,,,,S,S,
11834,SAMN07766008,,,,S,,,,,,,,S,S
11835,SAMEA104394454,,,,S,,S,,,,,S,S,
11836,SAMEA1102354,,,,S,,R,,,,,S,R,
11837,SAMEA3310084,,,,S,,S,,,,,S,R,
11838,SAMEA1102744,,,,S,,S,,,,,S,S,
11839,SAMN07978265,,,,R,,R,,,,,R,R,
11840,SAMN07766394,,,,S,,S,,,,,,S,S
11841,SAMN08215018,,,,S,,S,,,,,,S,S
11842,SAMEA3437027,,,,S,,R,,,,,R,R,
11843,SAMEA2709751,,,,S,,S,,,,,S,S,
11844,SAMN07658376,,,,S,,S,,,,,S,S,
11845,SAMEA1102642,,,,,,R,,,,,S,R,
11846,SAMEA1117647,,,,S,,S,,,,,S,S,
11847,SAMEA1101457,,,,R,,R,,,,,R,R,
11848,SAMEA1119937,,,,S,,S,,,,,S,S,
11849,SAMEA1118291,,,,S,,S,,,,,S,S,
11850,SAMEA1119614,,,,S,,S,,,,,S,S,
11851,SAMEA2533910,,,,R,,R,,,,,,R,
11852,SAMN08215193,,,,S,,S,,,,,,S,S
11853,SAMEA104394450,,,,S,,S,,,,,S,S,
11854,SAMN08215424,,,,S,,S,,,,,,S,S
11855,SAMN07659761,,,,S,,S,,,,,S,S,
11856,SAMEA3414399,,,,R,,R,,,,,R,R,
11857,SAMEA1117883,,,,S,,S,,,,,S,S,
11858,SAMEA3444552,,,,S,,S,,,,,S,S,
11859,SAMEA3445253,,,,S,,S,,,,,S,S,
11860,SAMEA104172434,,,,R,,R,,,,,S,R,
11861,SAMN07766155,,,,S,,S,,,,,,S,S
11862,SAMEA1101541,,,,R,,R,,,,,R,R,
11863,SAMEA1118142,,,,S,,S,,,,,S,S,
11864,SAMN07659732,,,,S,,S,,,,,S,S,
11865,SAMEA1119922,,,,S,,S,,,,,S,S,
11866,SAMEA3170441,,,,S,,S,,,,,S,S,
11867,SAMN08214867,,,,S,,S,,,,,,S,R
11868,SAMEA1119852,,,,S,,S,,,,,S,S,
11869,SAMEA2709862,,,,S,,S,,,,,S,S,
11870,SAMEA3232882,,,,R,,,,,,,,R,
11871,SAMN07766369,,,,S,,S,,,,,,S,S
11872,SAMEA1118247,,,,S,,S,,,,,S,S,
11873,SAMN07659114,,,,S,,S,,,,,S,S,
11874,SAMEA3305615,,,,S,,S,,,,,S,S,
11875,SAMEA1397446,,,,S,,S,,,,,S,S,
11876,SAMEA3392624,,,,R,,R,,,,,R,R,
11877,SAMEA104394500,,,,S,,S,,,,,S,S,
11878,SAMEA1119228,,,,S,,S,,,,,S,S,
11879,SAMEA1118500,,,,S,,S,,,,,S,S,
11880,SAMN07236535,,,,R,,R,,,,,,R,
11881,SAMEA1118936,,,,S,,S,,,,,S,S,
11882,SAMEA1102736,,,,S,,S,,,,,S,S,
11883,SAMN08214951,,,,S,,S,,,,,,S,
11884,SAMEA1117891,,,,S,,S,,,,,S,S,
11885,SAMEA1118026,,,,S,,S,,,,,S,S,
11886,SAMEA1118644,,,,S,,S,,,,,S,S,
11887,SAMEA3258487,,,,R,,,,,,,,R,
11888,SAMN07658817,,,,S,,S,,,,,S,S,
11889,SAMN08215154,,,,S,,S,,,,,,S,S
11890,SAMN07766476,,,,S,,S,,,,,,S,S
11891,SAMEA1101450,,,,R,,R,,,,,S,R,
11892,SAMEA36310168,,,,R,,R,,,,,R,R,
11893,SAMEA1102554,,,,R,,R,,,,,S,R,
11894,SAMEA3446546,,,,S,,S,,,,,S,S,
11895,SAMEA1101734,,,,S,,R,,,,,S,R,
11896,SAMEA3178923,,,,S,,S,,,,,S,S,
11897,SAMEA104394481,,,,S,,S,,,,,S,S,
11898,SAMEA1117831,,,,S,,S,,,,,S,S,
11899,SAMEA1118995,,,,S,,S,,,,,S,S,
11900,SAMN08215161,,,,S,,S,,,,,,S,S
11901,SAMN08215347,,,,S,,S,,,,,,S,S
11902,SAMEA104394688,,,,S,,S,,,,,S,S,
11903,SAMN08215104,,,,S,,S,,,,,,S,S
11904,SAMEA3175230,,,,S,,S,,,,,S,S,
11905,SAMEA3357581,,,,S,,S,,,,,S,S,
11906,SAMEA3445044,,,,S,,S,,,,,S,S,
11907,SAMEA3421011,,,,R,,R,,,,,S,R,
11908,SAMEA3392408,,,,S,,S,,,,,R,S,
11909,SAMEA1103089,,,,S,,R,,,,,S,S,
11910,SAMN08215242,,,,S,,,,,,,S,,S
11911,SAMN07766015,,,,S,,S,,,,,,S,R
11912,SAMEA1101434,,,,,,S,,,,,,S,
11913,SAMN07766348,,,,S,,S,,,,,,S,
11914,SAMEA104394594,,,,S,,S,,,,,,S,
11915,SAMEA1119787,,,,S,,S,,,,,S,S,
11916,SAMN08215278,,,,S,,S,,,,,,S,S
11917,SAMN08215254,,,,S,,S,,,,,S,R,S
11918,SAMN07766106,,,,S,,S,,,,,,S,S
11919,SAMN07658300,,,,S,,S,,,,,S,S,
11920,SAMN07659513,,,,S,,S,,,,,S,S,
11921,SAMEA1118840,,,,S,,S,,,,,S,S,
11922,SAMN07766466,,,,S,,S,,,,,,S,S
11923,SAMEA1119942,,,,S,,S,,,,,S,S,
11924,SAMN08215446,,,,S,,S,,,,,,S,S
11925,SAMEA3432791,,,,R,,R,,,,,S,R,
11926,SAMN07766054,,,,S,,S,,,,,,S,S
11927,SAMEA1397407,,,,S,,S,,,,,S,S,
11928,SAMEA1117689,,,,S,,S,,,,,S,S,
11929,SAMEA1102358,,,,R,,R,,,,,R,R,
11930,SAMN07659437,,,,S,,S,,,,,S,S,
11931,SAMN08215023,,,,S,,,,,,,S,S,S
11932,SAMN07766416,,,,S,,S,,,,,S,S,S
11933,SAMN08215093,,,,S,,S,,,,,,S,S
11934,SAMEA3220390,,,,S,,S,,,,,S,S,
11935,SAMN07236424,,,,S,,S,,,,,,S,
11936,SAMEA1118445,,,,S,,S,,,,,S,S,
11937,SAMN07236366,,,,R,,R,,,,,,R,
11938,SAMEA1101819,,,,R,,R,,,,,S,R,
11939,SAMEA1101553,,,,R,,R,,,,,S,R,
11940,SAMEA104394392,,,,S,,S,,,,,,S,
11941,SAMN09090406,,,,,,,,,,,,S,
11942,SAMEA2709784,,,,S,,S,,,,,S,S,
11943,SAMEA1101369,,,,,,R,,,,,,S,
11944,SAMEA3444535,,,,S,,R,,,,,S,S,
11945,SAMEA2533604,,,,R,,R,,,,,S,R,
11946,SAMEA1705623,,,,S,,S,,,,,S,S,
11947,SAMEA1118393,,,,S,,S,,,,,S,S,
11948,SAMEA1118349,,,,S,,S,,,,,S,S,
11949,SAMEA1397355,,,,S,,S,,,,,S,S,
11950,SAMN05276389,,,,S,,S,,,,,S,S,
11951,SAMEA1118637,,,,S,,S,,,,,S,S,
11952,SAMEA104394571,,,,S,,S,,,,,,S,
11953,SAMEA1119898,,,,S,,S,,,,,S,S,
11954,SAMN08215299,,,,S,,S,,,,,,S,S
11955,SAMEA3340431,,,,S,,S,,,,,S,S,
11956,SAMEA3215189,,,,S,,S,,,,,S,S,
11957,SAMN08215397,,,,S,,S,,,,,,S,S
11958,SAMN07659621,,,,S,,S,,,,,S,S,
11959,SAMEA1119269,,,,R,,R,,,,,S,S,
11960,SAMN08215396,,,,S,,S,,,,,,S,S
11961,SAMEA2709776,,,,S,,S,,,,,S,S,
11962,SAMEA3305528,,,,R,,,,,,,,R,
11963,SAMEA2535240,,,,S,,S,,,,,S,R,
11964,SAMN08214827,,,,S,,S,,,,,,S,S
11965,SAMEA1101750,,,,S,,R,,,,,S,R,
11966,SAMEA3374109,,,,S,,S,,,,,S,S,
11967,SAMEA1397348,,,,S,,S,,,,,S,S,
11968,SAMEA1118895,,,,S,,S,,,,,S,S,
11969,SAMEA3401495,,,,R,,R,,,,,R,R,
11970,SAMEA1102828,,,,S,,S,,,,,S,S,
11971,SAMN07658781,,,,S,,S,,,,,S,S,
11972,SAMN07766232,,,,S,,S,,,,,,S,S
11973,SAMEA1016074,,,,R,,R,,,,,R,S,
11974,SAMEA1118934,,,,S,,S,,,,,S,S,
11975,SAMEA104394605,,,,S,,S,,,,,,S,
11976,SAMEA1902639,,,,S,,S,,,,,S,S,
11977,SAMEA1102772,,,,S,,R,,,,,S,S,
11978,SAMEA2534928,,,,R,,R,,,,,R,,
11979,SAMEA3357583,,,,R,,R,,,,,,R,
11980,SAMEA2709802,,,,S,,R,,,,,S,R,
11981,SAMEA3447632,,,,S,,S,,,,,S,S,
11982,SAMEA3404182,,,,R,,R,,,,,,R,
11983,SAMEA3257653,,,,R,,,,,,,,R,
11984,SAMEA1117588,,,,S,,S,,,,,S,S,
11985,SAMEA3182794,,,,S,,S,,,,,S,S,
11986,SAMN07765893,,,,S,,S,,,,,,S,S
11987,SAMEA1118180,,,,S,,S,,,,,S,S,
11988,SAMEA3270351,,,,S,,S,,,,,S,S,
11989,SAMN08215169,,,,S,,S,,,,,,S,S
11990,SAMEA3374111,,,,R,,R,,,,,R,R,
11991,SAMEA3356004,,,,S,,S,,,,,S,S,
11992,SAMN07765959,,,,S,,S,,,,,,S,S
11993,SAMEA1118160,,,,R,,R,,,,,R,R,
11994,SAMN08214805,,,,S,,S,,,,,,S,S
11995,SAMEA3448151,,,,S,,S,,,,,S,S,
11996,SAMEA1118081,,,,S,,S,,,,,S,S,
11997,SAMEA1118736,,,,S,,S,,,,,S,S,
11998,SAMEA2709761,,,,S,,S,,,,,S,S,
11999,SAMN08215076,,,,S,,S,,,,,,S,S
12000,SAMEA104172482,,,,R,,R,,,,,S,R,
12001,SAMEA104394429,,,,S,,R,,,,,S,S,
12002,SAMEA1117735,,,,S,,S,,,,,S,S,
12003,SAMEA3442731,,,,R,,R,,,,,R,R,
12004,SAMEA1101615,,,,S,,S,,,,,,S,
12005,SAMEA1118549,,,,S,,S,,,,,S,S,
12006,SAMEA2709718,,,,S,,S,,,,,S,S,
12007,SAMEA3448723,,,,S,,S,,,,,S,S,
12008,SAMEA1101520,,,,R,,R,,,,,S,S,
12009,SAMEA104394691,,,,S,,S,,,,,,S,
12010,SAMEA1103100,,,,S,,R,,,,,R,R,
12011,SAMN07766251,,,,S,,S,,,,,,S,S
12012,SAMEA1101334,,,,,,R,,,,,,S,
12013,SAMN08215122,,,,S,,S,,,,,,S,S
12014,SAMEA3249303,,,,S,,S,,,,,S,S,
12015,SAMEA3449891,,,,S,,S,,,,,S,S,
12016,SAMEA1119256,,,,S,,R,,,,,S,R,
12017,SAMEA1119488,,,,S,,S,,,,,S,S,
12018,SAMN08215438,,,,S,,R,,,,,R,S,R
12019,SAMEA3284770,,,,S,,S,,,,,S,S,
12020,SAMEA1103136,,,,R,,R,,,,,R,R,
12021,SAMEA1119063,,,,S,,S,,,,,S,S,
12022,SAMEA1117850,,,,S,,S,,,,,S,S,
12023,SAMEA2709775,,,,S,,S,,,,,S,R,
12024,SAMEA3448725,,,,S,,S,,,,,S,S,
12025,SAMEA3420873,,,,R,,R,,,,,R,R,
12026,SAMN07766406,,,,S,,R,,,,,S,S,R
12027,SAMN07236310,,,,S,,S,,,,,,S,
12028,SAMEA3233425,,,,R,,R,,,,,R,R,
12029,SAMEA3451142,,,,S,,S,,,,,S,S,
12030,SAMN08215091,,,,S,,S,,,,,,S,S
12031,SAMEA1119871,,,,S,,S,,,,,S,S,
12032,SAMEA3368154,,,,R,,R,,,,,R,R,
12033,SAMEA3421012,,,,S,,S,,,,,S,S,
12034,SAMEA1119094,,,,S,,S,,,,,S,S,
12035,SAMEA1403870,,,,S,,S,,,,,,S,S
12036,SAMEA1101755,,,,R,,R,,,,,S,R,
12037,SAMEA1117823,,,,S,,S,,,,,,S,
12038,SAMEA1103112,,,,R,,R,,,,,,R,
12039,SAMEA3403847,,,,R,,R,,,,,,R,
12040,SAMEA3444108,,,,S,,R,,,,,S,R,
12041,SAMEA1102568,,,,R,,R,,,,,S,R,
12042,SAMN08215336,,,,S,,S,,,,,,S,S
12043,SAMN07658655,,,,S,,S,,,,,S,S,
12044,SAMN08214895,,,,S,,S,,,,,,S,S
12045,SAMEA3334365,,,,S,,S,,,,,S,S,
12046,SAMEA1397337,,,,S,,S,,,,,S,S,
12047,SAMEA1118608,,,,S,,S,,,,,S,S,
12048,SAMEA3230413,,,,S,,S,,,,,S,S,
12049,SAMEA3283869,,,,S,,S,,,,,S,S,
12050,SAMEA1101757,,,,R,,R,,,,,R,R,
12051,SAMEA1118743,,,,S,,S,,,,,S,S,
12052,SAMEA2533804,,,,R,,R,,,,,,R,
12053,SAMEA1117918,,,,S,,S,,,,,S,S,
12054,SAMEA3324353,,,,S,,S,,,,,S,S,
12055,SAMEA2709756,,,,S,,S,,,,,S,S,
12056,SAMEA104394659,,,,S,,S,,,,,,S,
12057,SAMEA3271652,,,,R,,,,,,,,R,
12058,SAMEA3443174,,,,,,R,,,,,R,R,
12059,SAMEA1119215,,,,S,,S,,,,,S,S,
12060,SAMEA3449882,,,,S,,S,,,,,S,S,
12061,SAMEA3257649,,,,S,,S,,,,,S,S,
12062,SAMEA3443365,,,,R,,R,,,,,S,R,
12063,SAMN07766349,,,,S,,S,,,,,,S,S
12064,SAMEA3447565,,,,S,,S,,,,,S,S,
12065,SAMN07660270,,,,S,,S,,,,,S,S,
12066,SAMN09090571,,,,,,,,,,,,S,
12067,SAMEA1118170,,,,S,,S,,,,,S,S,
12068,SAMN07659990,,,,S,,S,,,,,S,S,
12069,SAMEA1101586,,,,R,,R,,,,,R,R,
12070,SAMEA3447573,,,,S,,S,,,,,S,S,
12071,SAMN07658723,,,,S,,S,,,,,S,S,
12072,SAMN07658867,,,,S,,S,,,,,S,S,
12073,SAMEA3445274,,,,S,,S,,,,,S,S,
12074,SAMEA3443375,,,,S,,R,,,,,R,R,
12075,SAMEA3375492,,,,S,,S,,,,,R,S,
12076,SAMEA3436390,,,,,,R,,,,,S,R,
12077,SAMN07766058,,,,S,,S,,,,,,S,S
12078,SAMN07765922,,,,S,,S,,,,,,S,S
12079,SAMN07766122,,,,S,,S,,,,,,S,S
12080,SAMEA3446527,,,,S,,S,,,,,S,S,
12081,SAMEA3234139,,,,S,,S,,,,,S,S,
12082,SAMEA3359391,,,,S,,S,,,,,S,S,
12083,SAMEA1101458,,,,S,,S,,,,,S,R,
12084,SAMN07766203,,,,S,,S,,,,,,S,S
12085,SAMN08215165,,,,S,,S,,,,,,S,S
12086,SAMEA3443180,,,,,,R,,,,,S,R,
12087,SAMEA1119567,,,,S,,S,,,,,S,S,
12088,SAMEA1102645,,,,R,,R,,,,,S,R,
12089,SAMEA3420946,,,,R,,R,,,,,S,R,
12090,SAMN07658585,,,,S,,S,,,,,S,S,
12091,SAMN07658134,,,,S,,S,,,,,S,S,
12092,SAMEA1119916,,,,S,,S,,,,,,S,
12093,SAMN07659642,,,,S,,S,,,,,S,S,
12094,SAMEA3447635,,,,S,,S,,,,,S,S,
12095,SAMN09090523,,,,,,,,,,,,S,
12096,SAMEA2709886,,,,R,,R,,,,,R,R,
12097,SAMN07766189,,,,S,,S,,,,,,S,S
