,Isolate,AMIKACIN,CAPREOMYCIN,CIPROFLOXACIN,ETHAMBUTOL,ETHIONAMIDE,ISONIAZID,KANAMYCIN,LEVOFLOXACIN,OFLOXACIN,PARA-AMINOSALICYLIC_ACID,PYRAZINAMIDE,RIFAMPICIN,STREPTOMYCIN
6997,SAMN02231102,,,,S,,S,,,,,,S,S
6998,SAMN02231103,,,,S,,S,,,,,,S,S
6999,SAMN02231104,,,,S,,S,,,,,,S,S
7000,SAMN02231105,,,,S,,S,,,,,,S,S
7001,SAMN02231106,,,,S,,S,,,,,,S,S
7002,SAMN02231107,,,,S,,S,,,,,,S,S
7003,SAMN02231108,,,,S,,S,,,,,,S,S
7004,SAMN02231109,,,,S,,S,,,,,,R,S
7005,SAMN02231112,,,,S,,S,,,,,,S,S
7006,SAMN02231115,,,,S,,S,,,,,,S,S
7007,SAMN02231116,,,,S,,S,,,,,,S,S
7008,SAMN02231117,,,,S,,S,,,,,,S,S
7009,SAMN02231118,,,,S,,S,,,,,,S,S
7010,SAMN02231119,,,,R,,R,,,,,,R,S
7011,SAMN02231120,,,,S,,S,,,,,,S,S
7012,SAMN02231121,,,,S,,R,,,,,,S,R
7013,SAMN02231122,,,,S,,S,,,,,,S,S
7014,SAMN02231123,,,,S,,S,,,,,,S,S
7015,SAMN02231124,,,,S,,S,,,,,,S,S
7016,SAMN02231125,,,,S,,S,,,,,,S,S
7017,SAMN02231126,,,,S,,S,,,,,,S,S
7018,SAMN02231127,,,,S,,S,,,,,,S,S
7019,SAMN02231128,,,,S,,S,,,,,,S,S
7020,SAMN02231129,,,,S,,S,,,,,,S,S
7021,SAMN02231130,,,,S,,S,,,,,,S,S
7022,SAMN02231131,,,,S,,S,,,,,,S,S
7023,SAMN02231132,,,,S,,S,,,,,,S,S
7024,SAMN02231133,,,,S,,S,,,,,,S,S
7025,SAMN02231134,S,S,,S,S,S,S,,S,S,,S,S
7026,SAMN02231135,,,,S,,S,,,,,,S,S
7027,SAMN02231136,,,,S,,S,,,,,,S,S
7028,SAMN02231137,,,,S,,S,,,,,,S,S
7029,SAMN02231138,,,,S,,S,,,,,,S,S
7030,SAMN02231139,,,,S,,S,,,,,,S,S
7031,SAMN02231140,,,,S,,S,,,,,,S,S
7032,SAMN02231143,S,S,,S,S,S,S,,S,S,,S,S
7033,SAMN02231144,,,,S,,S,,,,,,S,S
7034,SAMN02231145,,,,S,,S,,,,,,S,S
7035,SAMN02231146,S,S,,S,S,S,S,,S,S,,S,S
7036,SAMN02231147,,,,S,,S,,,,,,S,S
7037,SAMN02231148,,,,S,,S,,,,,,S,S
7038,SAMN02231149,,,,S,,S,,,,,,S,S
7039,SAMN02231150,,,,S,,S,,,,,,S,S
7040,SAMN02231152,,,,R,,R,,,,,,S,R
7041,SAMN02231154,,,,S,,R,,,,,,R,R
7042,SAMN02231155,,,,R,,R,,,,,,R,R
7043,SAMN02231156,,,,R,,R,,,,,,R,R
7044,SAMN02231159,,,,S,,R,,,,,,S,R
7045,SAMN02231160,S,S,,,S,R,S,,S,S,,,
7046,SAMN02231161,,,,R,,R,,,,,,S,S
7047,SAMN02231162,S,S,,S,S,S,S,,S,S,,S,S
7048,SAMN02231163,,,,S,,S,,,,,,S,S
7049,SAMN02231164,,,,R,,R,,,,,,R,R
7050,SAMN02231165,,,,S,,R,,,,,,S,R
7051,SAMN02231166,,,,R,,R,,,,,,R,R
7052,SAMN02231167,S,S,,S,S,R,S,,S,S,,R,S
7053,SAMN02231168,,,,S,,R,,,,,,S,R
7054,SAMN02231169,S,S,,S,S,R,S,,S,S,,S,S
7055,SAMN02231171,,,,R,,R,,,,,,R,R
7056,SAMN02231172,S,S,,R,S,R,S,,S,S,,R,
7057,SAMN02231173,,,,R,,R,,,,,,R,R
7058,SAMN02231174,,,,S,,R,,,,,,S,R
7059,SAMN02231175,,,,S,,R,,,,,,S,R
7060,SAMN02231176,,,,R,,R,,,,,,R,R
7061,SAMN02231177,,,,R,,R,,,,,,R,S
7062,SAMN02231178,,,,S,,S,,,,,,S,S
7063,SAMN02231179,,,,R,,R,,,,,,R,R
7064,SAMN02231180,,,,R,,R,,,,,,R,R
7065,SAMN02231181,,,,R,,R,,,,,,R,R
7066,SAMN02231182,,,,S,,R,,,,,,S,S
7067,SAMN02231183,,,,R,,R,,,,,,R,R
7068,SAMN02231184,,,,R,,R,,,,,,R,R
7069,SAMN02231185,,,,S,,R,,,,,,R,R
7070,SAMN02231186,S,S,,,S,R,S,,S,S,,R,
7071,SAMN02231187,,,,R,,R,,,,,,R,R
7072,SAMN02231188,,,,S,,R,,,,,,R,R
7073,SAMN02231189,,,,S,,R,,,,,,R,R
7074,SAMN02231190,,,,R,,R,,,,,,R,R
7075,SAMN02231191,,,,R,,R,,,,,,R,R
7076,SAMN02350402,S,S,,R,S,R,S,,S,S,S,S,R
7077,SAMN02350408,,R,R,R,R,R,R,,R,,,R,S
7078,SAMN02350410,,R,,R,R,R,R,,R,,,R,R
7079,SAMN02350411,,R,,R,R,R,R,,R,,,R,R
7080,SAMN02350412,,R,R,R,R,R,R,,R,,,R,R
7081,SAMN02350413,,R,,R,R,R,R,,R,,,R,R
7082,SAMN02350414,,R,,R,R,R,R,,R,,,R,R
7083,SAMN02350415,,R,S,R,R,R,R,,R,,,R,R
7084,SAMN02350416,,R,R,R,R,R,R,,R,,,R,R
7085,SAMN02350417,,R,R,R,R,R,R,,R,,,R,R
7086,SAMN02350418,,S,R,R,R,R,S,,R,,,R,R
7087,SAMN02350419,,S,,R,R,R,S,,R,,,R,R
7088,SAMN02350420,,S,,S,S,R,R,,S,,,R,R
7089,SAMN02350421,,R,,R,R,R,R,,R,,,R,R
7090,SAMN02350422,,R,,R,R,R,R,,R,,,R,R
7091,SAMN02350423,,S,R,R,R,R,S,,R,,,R,R
7092,SAMN02350424,,S,,R,R,R,R,,R,,,R,R
7093,SAMN02350426,,R,,R,R,R,R,,R,,,R,R
7094,SAMN02350427,,R,,R,R,R,R,,R,,,R,R
7095,SAMN02350428,,S,,R,S,R,R,,R,,,R,S
7096,SAMN02350429,,R,,R,R,R,R,,R,,,R,R
7097,SAMN02350430,,R,,R,R,R,R,,R,,,R,R
7098,SAMN02350431,,S,,R,R,R,R,,R,,,R,R
7099,SAMN02350432,,S,,S,S,S,S,,S,,,R,S
7100,SAMN02350433,,R,,R,R,R,R,,R,,,R,R
7101,SAMN02350434,,R,,R,R,R,R,,R,,,R,R
7102,SAMN02350435,,S,,R,R,R,S,,R,,,R,R
7103,SAMN02350436,,S,,R,S,R,S,,S,,,R,R
7104,SAMN02350438,,S,,R,R,R,R,,S,,,R,S
7105,SAMN02350439,,S,,R,R,R,R,,S,,,R,S
7106,SAMN02350440,,R,,R,R,R,R,,R,,,R,S
7107,SAMN02350441,,S,,R,R,R,S,,R,,,R,S
7108,SAMN02350442,,S,,R,R,R,S,,S,,,R,R
7109,SAMN02350443,,S,,R,R,R,R,,S,,,R,S
7110,SAMN02350444,,,,S,,S,S,,S,,,S,S
7111,SAMN02350445,,,,S,,S,S,,S,,,S,S
7112,SAMN02350448,,,,S,,S,S,,S,,,S,S
7113,SAMN02350449,,,,S,,S,S,,S,,,S,S
7114,SAMN02350451,,,,S,,S,S,,S,,,S,S
7115,SAMN02350452,,,,S,,S,S,,S,,,S,S
7116,SAMN02350454,,,,S,,S,S,,S,,,S,S
7117,SAMN02350455,,,,S,,S,S,,S,,,S,S
7118,SAMN02350457,,,,S,,S,S,,S,,,S,S
7119,SAMN02350458,,,,S,,S,S,,S,,,S,S
7120,SAMN02350459,,,,S,,S,S,,S,,,S,S
7121,SAMN02350460,,,,S,,S,S,,S,,,S,S
7122,SAMN02350461,,,,S,,,S,,S,,,S,S
7123,SAMN02350462,,,,,,,S,,S,,,S,R
7124,SAMN02350463,,,,,,R,S,,S,,,S,R
7125,SAMN02350464,,,,,,,S,,S,,,S,S
7126,SAMN02350465,,,,,,,S,,S,,,R,R
7127,SAMN02350466,,,,,,S,S,,S,,,R,S
7128,SAMN02350467,,,,,,S,S,,S,,,R,S
7129,SAMN02350468,,,,,,R,S,,S,,,S,R
7130,SAMN02350469,,,,,,R,S,,S,,,R,R
7131,SAMN02350470,,,,,,R,S,,S,,,R,R
7132,SAMN02350471,,,,,,R,S,,S,,,R,R
7133,SAMN02350472,,,,,,R,S,,S,,,R,R
7134,SAMN02350473,,,,,,R,S,,S,,,R,R
7135,SAMN02350474,,,,,,R,S,,S,,,R,R
7136,SAMN02350475,,,,,,R,R,,S,,,R,S
7137,SAMN02350476,,,,,,R,R,,S,,,S,S
7138,SAMN02350477,,,,,,R,R,,S,,,R,R
7139,SAMN02350478,,,,,,R,S,,R,,,S,R
7140,SAMN02350479,,,,,,R,S,,R,,,R,S
7141,SAMN02350480,,,,,,R,S,,R,,,R,R
