Drug,Lineage,Percentage of Strains that are Resistant,Number of Resistant Strains,Number of Susceptible Strains,No Results
cip,"4.3.3,3.1.1",0.0,0,0,1
cip,"4.3.3,4.1.1",0.0,0,0,1
cip,"4.3.3,4.1.2",0.0,0,0,3
cip,"4.3.3,4.3.2.1",0.0,0,0,2
cip,4.3.4,0.0,0,0,2
cip,4.3.4.1,0.0,0,0,60
cip,4.3.4.2,0.0,0,0,130
cip,"4.3.4.2,3.1.2.1",0.0,0,0,1
cip,4.3.4.2.1,0.0,0,0,127
cip,"4.3.4.2.1,1.1.2",0.0,0,0,1
cip,4.4,0.0,0,0,8
cip,4.4.1.1,0.0,0,6,370
cip,"4.4.1.1,3",0.0,0,0,2
cip,"4.4.1.1,4.1.2",0.0,0,0,4
cip,"4.4.1.1,4.3.3",0.0,0,0,1
cip,"4.4.1.1,4.3.4.2.1",0.0,0,0,3
cip,"4.4.1.1,4.6.1.2",0.0,0,0,1
cip,4.4.1.2,0.0,0,0,90
cip,4.4.2,0.0,0,0,23
cip,4.5,0.0,0,0,90
cip,"4.5,1.1.2",0.0,0,0,1
cip,"4.5,1.2.1",0.0,0,0,2
cip,4.6,0.0,0,0,9
cip,4.6.1.1,0.0,0,0,11
cip,4.6.1.2,0.0,0,0,19
cip,4.6.2,0.0,0,0,28
cip,4.6.2.1,0.0,0,0,8
cip,4.6.2.2,0.0,0,0,67
cip,4.7,0.0,0,0,66
cip,4.8,0.0,0,2,538
cip,"4.8,4.1.1.3",0.0,0,1,1
cip,"4.8,4.3.4.1",0.0,0,0,2
cip,4.9,0.0,0,0,135
cip,5,0.0,0,0,15
cip,"5,6,BOV_AFRI",0.0,0,0,1
cip,6,0.0,0,0,2
cip,"6,BOV_AFRI",0.0,0,0,36
cip,BOV_AFRI,0.0,0,0,85
emb,1,0.0,0,3,0
emb,"1,2.2.1",100.0,1,0,0
emb,1.1,100.0,1,0,0
emb,1.1.1,11.11111111111111,4,31,1
emb,1.1.1.1,0.0,0,20,0
emb,1.1.2,5.882352941176471,16,210,46
