Isolate,Location,Latitude,Longitude,City,State/Region,Country,Continent
Test1416,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1415,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1483,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1408,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1414,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1474,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1471,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1488,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1412,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1417,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1427,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1436,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1469,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1411,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1491,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1421,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1430,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1456,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1492,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1448,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1446,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1451,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1418,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1457,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1403,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1429,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1426,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1460,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1440,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1453,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1499,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1489,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1466,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1404,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1438,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1454,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1461,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1406,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1439,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1494,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1472,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
Test1455,"Allahābād, Uttar Pradesh, IN",25.4448,81.8432,Allahābād,Uttar Pradesh,India,Asia
