,ID,Drug,Resistant,Lineage
49196,TB-111-20592-18_S45_R.all,str,1,4.2.1
49222,TB-111-19016-18_S131_R.all,str,1,4.2.1
49495,TB-111-10418-18_S15_R.all,str,1,4.2.1
49586,TB-111-249-18_S235_R.all,str,1,4.2.1
49612,TB-111-20153-18_S165_R.all,str,1,4.2.1
49638,TB-111-5368-19_S132_R.all,str,1,4.2.1
49664,TB-111-19861-18_S172_R.all,str,1,4.2.1
49768,TB-111-20102-19_S20_R.all,str,1,4.2.1
49820,TB-111-14733-19_S155_R.all,str,1,4.2.1
50015,TB-111-6967-19_S108_R.all,str,1,4.2.1
50145,TB-111-15341-19_S98_R.all,str,1,4.2.1
50392,TB-111-5210-19_S14_R.all,str,1,4.2.1
50470,TB-111-15561-19_S127_R.all,str,1,4.2.1
50574,TB-111-1844-19_S18_R.all,str,1,4.2.1
50587,TB-111-12364-18_S95_R.all,str,1,4.2.1
50691,TB-111-17590-18_S33_R.all,str,1,4.2.1
50795,TB-111-12685-18_S79_R.all,str,1,4.2.1
50886,TB-111-17151-19_S283_R.all,str,1,4.2.1
50938,TB-111-1095-19_S24_R.all,str,1,4.2.1
51094,TB-444-2394-18_S11_R.all,str,1,4.2.1
51133,TB-111-15171-18-138_S6_R.all,str,1,4.2.1
51237,TB-111-15171-18-138_S12_R.all,str,1,4.2.1
51302,TB-111-280-18-138_S144_R.all,str,1,4.2.1
51393,TB-111-18528-18_S141_R.all,str,1,4.2.1
51523,TB-111-52-18_S277_R.all,str,1,4.2.1
51692,TB-111-9837-18_S136_R.all,str,1,4.2.1
51718,TB-111-4466-19_S239_R.all,str,1,4.2.1
51861,TB-111-11645-18_S136_R.all,str,1,4.2.1
51939,TB-111-18850-18_S124_R.all,str,1,4.2.1
52056,TB-111-12496-19_S198_R.all,str,1,4.2.1
52303,TB-111-11429-19_S253_R.all,str,1,4.2.1
52342,TB-111-19151-18-138_S23_R.all,str,1,4.2.1
52550,TB-111-16133-18-138_S10_R.all,str,1,4.2.1
52602,TB-111-16379-18_S126_R.all,str,1,4.2.1
52797,TB-111-10582-18_S37_R.all,str,1,4.2.1
52849,TB-111-13880-18_S84_R.all,str,1,4.2.1
52862,TB-111-11273-19_S171_R.all,str,1,4.2.1
52927,TB-111-13160-18_S73_R.all,str,1,4.2.1
53083,TB-111-14450-18_S167_R.all,str,1,4.2.1
53109,TB-111-13294-18_S171_R.all,str,1,4.2.1
53239,TB-111-12700-18_S76_R.all,str,1,4.2.1
53304,TB-111-7086-18_S6_R.all,str,1,4.2.1
53395,TB-111-7114-18_S190_R.all,str,1,4.2.1
53616,TB-111-13498-18_S94_R.all,str,1,4.2.1
53707,TB-111-13161-18_S116_R.all,str,1,4.2.1
58738,1447520.3_res,str,1,4.2.1
58855,1455264.3_res,str,1,4.2.1
59167,1438859.3_res,str,1,4.2.1
59453,1447489.3_res,str,1,4.2.1
59622,1447505.3_res,str,1,4.2.1
59674,1447449.3_res,str,1,4.2.1
59856,1447486.3_res,str,1,4.2.1
59986,1447526.3_res,str,1,4.2.1
61884,1733.968_res,str,1,4.2.1
63483,1733.7511_res,str,1,4.2.1
64978,TB-444-6003-18_S100_R.all,str,1,4.2.1
79499,TB-MoldovaSeq-DNA142-807_S143_ndc,str,1,4.2.1
84218,TB-MoldovaSeq-DNA107-248_S108_ndc,str,1,4.2.1
84361,TB-MoldovaSeq-DNA128-1696_S129_ndc,str,1,4.2.1
84439,TB-MoldovaSeq-DNA145-850_S146_ndc,str,1,4.2.1
84647,TB-MoldovaSeq-DNA105-73_S106_ndc,str,1,4.2.1
84660,TB-MoldovaSeq-DNA134-1881_S135_ndc,str,1,4.2.1
84738,TB-MoldovaSeq-DNA116-1415_S117_ndc,str,1,4.2.1
85206,TB-MoldovaSeq-DNA033-78_S33_ndc,str,1,4.2.1
92876,TB-MoldovaSeq-DNA182-2728_S183_ndc,str,1,4.2.1
93019,TB-MoldovaSeq-DNA0306-5348_S309_ndc,str,1,4.2.1
93032,TB-MoldovaSeq-DNA0302-5166_S305_ndc,str,1,4.2.1
93045,TB-MoldovaSeq-DNA0210-2128_S20_ndc,str,1,4.2.1
93149,TB-MoldovaSeq-DNA013-536_S13_ndc,str,1,4.2.1
93279,TB-MoldovaSeq-DNA023-182_S23_ndc,str,1,4.2.1
93474,TB-MoldovaSeq-DNA0293-3261_S296_ndc,str,1,4.2.1
93487,TB-MoldovaSeq-DNA092-547_S92_ndc,str,1,4.2.1
93513,TB-MoldovaSeq-DNA0242-1981_S52_ndc,str,1,4.2.1
93591,TB-MoldovaSeq-DNA087-1084_S87_ndc,str,1,4.2.1
93682,TB-MoldovaSeq-DNA081-244_S81_ndc,str,1,4.2.1
93734,TB-MoldovaSeq-DNA0253-3126_S63_ndc,str,1,4.2.1
