,Drug,Lineage,Percentage of Strains that are Resistant,Number of Resistant Strains,Number of Susceptible Strains
1119,kan,4.2.1.1.1.2.2.2(1/1),0.0,0,1
1120,kan,4.2.1.1.2,0.0,0,1
1121,kan,4.2.1.1.2(1/1),0.78125,1,127
1122,kan,"4.2.1.1.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,2
1123,kan,4.2.1.2.1.1(1/1),0.0,0,1
1124,kan,4.2.1.2.1.1.i1,0.0,0,6
1125,kan,4.2.1.2.1.1.i1(1/1),4.761904761904762,6,120
1126,kan,4.2.1.2.1.1.i2,0.0,0,1
1127,kan,4.2.1.2.1.1.i2(1/1),0.0,0,9
1128,kan,4.2.1.2.1.1.i3(1/1),0.0,0,1
1129,kan,4.2.1.2.1.1.i3.1,11.11111111111111,1,8
1130,kan,4.2.1.2.1.1.i3.1(1/1),17.91044776119403,24,110
1131,kan,"4.2.1.2.1.1.i3.1(1/1),2.2.1.1.1(1/1)",100.0,1,0
1132,kan,"4.2.1.2.1.1.i3.1,4.2.1.1.1.1.2,4.1.i1.1.1.1,4.2.1.2.1.1.i4.1,2.2.1.1.1",100.0,1,0
1133,kan,4.2.1.2.1.1.i3.2,0.0,0,2
1134,kan,4.2.1.2.1.1.i3.2(1/1),1.834862385321101,2,107
1135,kan,"4.2.1.2.1.1.i4(1/1),2.2.1.1.1.i3(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1136,kan,4.2.1.2.1.1.i4.1,7.6923076923076925,2,24
1137,kan,4.2.1.2.1.1.i4.1(1/1),14.128440366972477,77,468
1138,kan,"4.2.1.2.1.1.i4.1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
1139,kan,"4.2.1.2.1.1.i4.1(1/1),4.1.i1.1(1/1)",0.0,0,1
1140,kan,"4.2.1.2.1.1.i4.1(1/1),4.2.1.2.1.1.i1(1/1)",0.0,0,1
1141,kan,4.2.1.2.1.1.i4.2(1/1),16.666666666666668,1,5
1142,kan,4.2.1.2.1.2(1/1),0.0,0,4
1143,kan,"4.2.1.2.1.2(1/1),4.2.1.1.1.2.2.1.1.1.2(1/1),4.1.i1.2.2(1/1),4.1.i1.1(1/1),1.1.1.2.i1(1/1),3.1(1/1),4.2.1.1.1.2.1.1.1(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1144,kan,4.2.1.2.2.1(1/1),0.0,0,3
1145,kan,4.2.1.2.2.1.1,0.0,0,19
1146,kan,4.2.1.2.2.1.1(1/1),2.34375,3,125
1147,kan,4.2.1.2.2.1.2,0.0,0,2
1148,kan,4.2.1.2.2.1.2(1/1),0.0,0,22
1149,kan,4.2.1.2.2.2(1/1),0.78125,1,127
1150,kan,"4.2.1.2.2.2(1/1),4.2.1.1.1.2.2.1(1/1)",0.0,0,1
1151,kan,4.2.2(1/1),20.0,6,24
1152,kan,"4.2.2(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
1153,kan,4.2.2.1,0.0,0,2
1154,kan,4.2.2.1(1/1),0.0,0,27
1155,kan,"4.2.2.2(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
1156,kan,4.2.2.2.1(1/1),2.0050125313283207,8,391
1157,kan,"4.2.2.2.1(1/1),2.2.1.1.1(1/1)",0.0,0,3
1158,kan,"4.2.2.2.1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,9
1159,kan,"4.2.2.2.1(1/1),4.2.1.1.1.2.1.1.1(1/1)",0.0,0,1
1160,kan,"4.2.2.2.1(1/1),4.2.1.2.1.1.i4.1(1/1)",0.0,0,2
1161,kan,4.2.2.2.2(1/1),0.0,0,159
1162,kan,"4.2.2.2.2(1/1),2.2.1.1.1.i3(1/1)",0.0,0,2
1163,kan,"4.2.2.2.2(1/1),4.2.1.1.1.1.1.1.i1(1/1)",0.0,0,1
1164,kan,"4.2.2.2.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1165,kan,5(1/1),0.0,0,1
1166,kan,6(1/1),0.0,0,5
1167,kan,nan,0.0,0,28
1168,kan,unfilled,9.45945945945946,7,67
1169,levo,1.1(1/1),0.0,0,3
1170,levo,"1.1(1/1),4(1/1)",0.0,0,1
1171,levo,1.1.1.1.1(1/1),7.142857142857143,2,26
1172,levo,"1.1.1.1.1(1/1),2.2.1.1.1(1/1)",0.0,0,3
1173,levo,"1.1.1.1.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1174,levo,1.1.1.2(1/1),0.0,0,55
1175,levo,"1.1.1.2(1/1),3.1.1.i1(1/1)",0.0,0,1
1176,levo,"1.1.1.2(1/1),4.2.1.1.1.1.1.1.i2(1/1)",0.0,0,1
1177,levo,"1.1.1.2.i1(1/1),2.2.1.1.1.i3(1/1)",0.0,0,1
