,ID,Drug,Resistant,Lineage
13662,rename_mycobacterium_tuberculosis_m991.0.variants,pas,0,1.1.2
13675,rename_mycobacterium_tuberculosis_m1288.0.variants,pas,0,1.1.2
13688,rename_mycobacterium_tuberculosis_m1283.0.variants,pas,0,1.1.2
13727,rename_mycobacterium_tuberculosis_m1213.0.variants,pas,0,1.1.2
13753,rename_mycobacterium_tuberculosis_m1025.0.variants,pas,0,1.1.2
13766,rename_mycobacterium_tuberculosis_m992.0.variants,pas,0,1.1.2
13779,rename_mycobacterium_tuberculosis_h2264.0.variants,pas,0,1.1.2
13792,rename_mycobacterium_tuberculosis_m987.0.variants,pas,0,1.1.2
13805,rename_mycobacterium_tuberculosis_h2398.0.variants,pas,0,1.1.2
13818,rename_mycobacterium_tuberculosis_m1287.0.variants,pas,0,1.1.2
13857,rename_mycobacterium_tuberculosis_m1034.0.variants,pas,0,1.1.2
13870,rename_mycobacterium_tuberculosis_h2754.0.variants,pas,0,1.1.2
13896,rename_mycobacterium_tuberculosis_m1026.0.variants,pas,0,1.1.2
13909,rename_mycobacterium_tuberculosis_h2760.0.variants,pas,0,1.1.2
13922,rename_mycobacterium_tuberculosis_m1212.0.variants,pas,0,1.1.2
13935,rename_mycobacterium_tuberculosis_h3033.0.variants,pas,0,1.1.2
13948,rename_mycobacterium_tuberculosis_m1221.0.variants,pas,0,1.1.2
14273,rename_mycobacterium_tuberculosis_m1310.0.variants,pas,0,1.1.2
14299,rename_mycobacterium_tuberculosis_m1424.0.variants,pas,0,1.1.2
14312,rename_mycobacterium_tuberculosis_m1389.0.variants,pas,0,1.1.2
14325,rename_mycobacterium_tuberculosis_m1381.0.variants,pas,0,1.1.2
14351,rename_mycobacterium_tuberculosis_m1384.0.variants,pas,0,1.1.2
14364,rename_mycobacterium_tuberculosis_m1416.0.variants,pas,0,1.1.2
14377,rename_mycobacterium_tuberculosis_m1448.0.variants,pas,0,1.1.2
14390,rename_mycobacterium_tuberculosis_m1340.0.variants,pas,0,1.1.2
14403,rename_mycobacterium_tuberculosis_m1481.0.variants,pas,0,1.1.2
14416,rename_mycobacterium_tuberculosis_m1475.0.variants,pas,0,1.1.2
14429,rename_mycobacterium_tuberculosis_m1425.0.variants,pas,0,1.1.2
14442,rename_mycobacterium_tuberculosis_m1439.0.variants,pas,0,1.1.2
14455,rename_mycobacterium_tuberculosis_m1429.0.variants,pas,0,1.1.2
14481,rename_mycobacterium_tuberculosis_m1452.0.variants,pas,0,1.1.2
14494,rename_mycobacterium_tuberculosis_m1402.0.variants,pas,0,1.1.2
14507,rename_mycobacterium_tuberculosis_m1307.0.variants,pas,0,1.1.2
14559,rename_mycobacterium_tuberculosis_m1456.0.variants,pas,0,1.1.2
14572,rename_mycobacterium_tuberculosis_m1438.0.variants,pas,0,1.1.2
14585,rename_mycobacterium_tuberculosis_m1422.0.variants,pas,0,1.1.2
14598,rename_mycobacterium_tuberculosis_m1444.0.variants,pas,0,1.1.2
14624,rename_mycobacterium_tuberculosis_m1449.0.variants,pas,0,1.1.2
14637,rename_mycobacterium_tuberculosis_m1392.0.variants,pas,0,1.1.2
14663,rename_mycobacterium_tuberculosis_m1417.0.variants,pas,0,1.1.2
14676,rename_mycobacterium_tuberculosis_m1415.0.variants,pas,0,1.1.2
14689,rename_mycobacterium_tuberculosis_m1461.0.variants,pas,0,1.1.2
14728,rename_mycobacterium_tuberculosis_m1400.0.variants,pas,0,1.1.2
14754,rename_mycobacterium_tuberculosis_m1441.0.variants,pas,0,1.1.2
14780,rename_mycobacterium_tuberculosis_m1315.0.variants,pas,0,1.1.2
14793,rename_mycobacterium_tuberculosis_m1317.0.variants,pas,0,1.1.2
